,Player,Team,EV_xGF,EV_xGA,EV_TOI,Game_Id,xGF/60,xGA/60,xGF%
180,LOGAN STANLEY,WPG,0.2806871691718695,0.4820104604586956,8.966666666666667,30174,1.8782041059827697,3.225348806043316,36.80189347223074
181,LUKE GLENDENING,DAL,1.5911184496944757,1.5282092564739271,65.85000000000001,241444,1.4497662411794765,1.3924457917757875,51.00837743171625
182,LUKE SCHENN,TOR,7.490270936628799,4.215686633717264,131.58333333333334,241164,3.4154496987794394,1.9222890286741166,63.98682800289156
183,MACKENZIE MACEACHERN,CAR,3.2109618834219864,1.6265493148239316,37.8,90405,5.096764894320613,2.581824309244336,66.37631938890975
184,MARC STAAL,FLA,6.876190129434685,8.72382386005483,161.08333333333334,271221,2.5612296395204206,3.2494325810861238,44.07810232777681
185,MARCUS FOLIGNO,MIN,2.941851139650678,3.8005174652207616,71.75,150816,2.460084576711368,3.1781330719616125,43.63230953474061
186,MARCUS JOHANSSON,MIN,2.646984473802147,2.644822302390819,79.83333333333334,180981,1.9893829030663315,1.9877578890619931,50.02042942517342
187,MARK GIORDANO,TOR,4.869686889695,7.909279539133417,113.01666666666667,241164,2.585293143032296,4.198998133148547,38.10704814678393
188,MARK SCHEIFELE,WPG,2.8090036399662477,2.4159368730615807,58.88333333333333,120690,2.8622737344688627,2.4617528284805235,53.76144729231459
189,MARK STONE,VGK,2.948529871180652,2.7861772226169674,94.78333333333333,181106,1.866486290882776,1.7637133816460493,51.41552694765594
190,MARTIN NECAS,CAR,3.5961996316327682,7.0928822582354725,112.98333333333333,241244,1.9097682067971626,3.7666877311768254,33.64367182032223
191,MASON APPLETON,WPG,2.9346128636971094,2.5475097787566465,79.48333333333333,150865,2.2152665777541607,1.9230520451926876,53.53059490080285
192,MASON MARCHMENT,DAL,4.395887566148301,4.93725860980339,114.21666666666667,241444,2.309236135726526,2.593627753581235,47.09973982272979
193,MATHEW BARZAL,NYI,3.7061459023971084,4.456696844834366,82.03333333333333,180801,2.710712159412757,3.259672621171011,45.40263750216298
194,MATS ZUCCARELLO,MIN,3.933422168716785,3.8489735246403116,98.46666666666667,180981,2.396804300504473,2.3453460881355994,50.54256200406616
195,MATT BOLDY,MIN,2.929272469948043,3.373368349974042,94.38333333333333,180981,1.8621544926386993,2.1444686667678883,46.47690632613673
196,MATT DUMBA,MIN,4.392094138311219,5.30027469422202,121.14999999999999,180981,2.175201389176006,2.624981276544129,45.31497113036795
197,MATT GRZELCYK,BOS,2.4384697321802355,1.6188852260820554,50.516666666666666,120459,2.8962359075713784,1.9227934061020784,60.09998526785535
198,MATT MARTIN,NYI,1.8650013762526196,2.9117927389452216,61.05,180801,1.83292518550626,2.8617127655481296,39.042950800808725
199,MATT NIETO,COL,2.285655518528072,3.6331852683797456,70.48333333333333,211078,1.9456987152284364,3.09280372810761,38.61660755571984
200,MATT ROY,L.A,7.335876102908511,5.305472567444664,118.71666666666667,181101,3.707588652319337,2.6814125007441794,58.03080267940716
201,MATTHEW KNIES,TOR,4.518427756149318,3.331308265449477,86.75,211043,3.1251373529563007,2.3040748810025202,57.56152491901284
202,MATTHEW TKACHUK,FLA,7.8010797209572,5.2815576033899525,153.33333333333334,271221,3.0525964125484695,2.066696453500416,59.629259204787196
203,MATTIAS EKHOLM,EDM,7.066126340301703,7.438628197181966,134.4,211342,3.1545206876346885,3.3208161594562347,48.715931883171024
204,MATTIAS JANMARK,EDM,0.8388389607425775,0.41988934506662146,15.3,60422,3.289564551931676,1.6466248826142016,66.64178098412691
205,MATTY BENIERS,SEA,4.9756468015257225,4.231361881596964,134.6,271541,2.2179703424334574,1.8861940036836393,54.04194752902266
206,MAX DOMI,DAL,4.219314484973435,4.68978923023678,108.55,241444,2.3321867259180666,2.5922372530097357,47.359584306667585
